LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,49971.13146
AUT,Austria,7.1,45276.83144
BEL,Belgium,6.9,41984.10303
CAN,Canada,7.4,42322.48478
CZE,Czech Republic,6.7,18575.23203
DNK,Denmark,7.6,54663.99837
FIN,Finland,7.6,43784.28396
FRA,France,6.5,37037.37419
DEU,Germany,7,42107.51727
GRC,Greece,5.4,18116.45965
HUN,Hungary,5.6,13090.50673
ISL,Iceland,7.5,61466.80395
IRL,Ireland,7,63197.0824
ITA,Italy,6,30939.71425
JPN,Japan,5.9,38761.81815
KOR,Korea,5.9,29288.87044
LUX,Luxembourg,6.9,104278.391
MEX,Mexico,6.5,8744.515772
NLD,Netherlands,7.4,46007.85292
NZL,New Zealand,7.3,40105.61339
NOR,Norway,7.6,70459.1825
POL,Poland,6.1,12447.43959
PRT,Portugal,5.4,19978.40121
SVK,Slovak Republic,6.2,16508.67036
ESP,Spain,6.3,26505.34322
SWE,Sweden,7.3,51965.15715
CHE,Switzerland,7.5,80172.23209
TUR,Turkey,5.5,10895.31869
GBR,United Kingdom,6.8,41064.13343
USA,United States,6.9,57951.58408
BRA,Brazil,6.4,8710.09669
CHL,Chile,6.5,13753.59444
EST,Estonia,5.7,18437.25282
ISR,Israel,7.2,37321.62404
LVA,Latvia,5.9,14315.79289
RUS,Russia,5.8,8704.898413
SVN,Slovenia,5.9,21663.64341
ZAF,South Africa,4.7,5272.918425
