date,year,mo,da,pickup_date,temp,dewp,slp,visib,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
2012-01-04,2012,01,04,2012-01-04,18.4,1.1,1020.4,10.0,22.0,999.9,27.0,12.9,0.0,999.9,0,473988
2012-01-15,2012,01,15,2012-01-15,22.1,2.3,1025.7,10.0,19.0,21.0,32.0,15.1,0.0,999.9,0,518708
2012-01-19,2012,01,19,2012-01-19,26.6,11.8,1021.2,10.0,12.0,14.0,36.0,19.9,0.0,999.9,0,528313
2012-02-20,2012,02,20,2012-02-20,37.6,17.1,1014.6,10.0,22.0,999.9,46.0,30.9,0.0,999.9,0,420026
2012-02-15,2012,02,15,2012-02-15,42.3,36.4,1020.5,7.7,8.0,17.1,46.0,39.9,0.02,999.9,0,541026
2012-12-13,2012,12,13,2012-12-13,40.3,24.6,1029.8,10.0,11.1,999.9,46.0,32.0,0.0,999.9,0,538635
2012-11-30,2012,11,30,2012-11-30,41.3,25.8,1027.7,9.3,18.1,22.9,46.0,35.6,0.0,999.9,0,541088
2012-02-21,2012,02,21,2012-02-21,38.5,20.7,1024.6,10.0,14.0,22.9,46.0,32.0,0.0,999.9,0,473859
2012-12-14,2012,12,14,2012-12-14,41.4,23.2,1024.4,10.0,18.1,25.1,48.0,28.0,0.0,999.9,0,565711
2012-02-18,2012,02,18,2012-02-18,41.5,20.8,1015.9,10.0,16.9,17.1,48.0,35.1,0.03,999.9,0,538830
2012-12-19,2012,12,19,2012-12-19,44.0,30.5,1007.4,10.0,25.1,34.0,48.0,41.0,0.07,999.9,0,520247
2012-01-17,2012,01,17,2012-01-17,39.8,34.6,1023.6,7.6,19.0,22.9,48.0,35.1,0.08,999.9,0,488425
2012-01-12,2012,01,12,2012-01-12,43.1,39.8,1004.2,5.7,26.0,35.0,50.0,41.0,0.95,999.9,0,514149
2012-02-17,2012,02,17,2012-02-17,45.0,34.7,1015.4,7.0,14.0,22.9,50.0,39.9,0.22,999.9,0,544931
2012-12-17,2012,12,17,2012-12-17,42.0,40.4,1011.3,5.6,20.0,28.0,50.0,39.0,0.44,999.9,0,476358
2012-03-16,2012,03,16,2012-03-16,45.3,42.5,1023.5,4.5,8.9,999.9,50.0,36.0,0.02,999.9,0,563313
2012-12-09,2012,12,09,2012-12-09,46.2,41.7,1020.7,7.2,15.9,21.0,50.0,42.1,0.25,999.9,0,487840
2012-12-27,2012,12,27,2012-12-27,39.1,37.1,996.6,6.0,34.0,53.0,52.0,33.1,0.84,999.9,1,401642
2012-04-01,2012,04,01,2012-04-01,45.7,37.3,1010.2,9.4,8.0,999.9,52.0,32.0,0.01,999.9,0,496473
2012-01-06,2012,01,06,2012-01-06,41.8,25.4,1011.4,9.8,12.0,14.0,52.0,32.0,0.0,999.9,0,511891
2012-10-13,2012,10,13,2012-10-13,45.2,25.9,1030.8,10.0,20.0,27.0,52.0,37.9,0.0,999.9,0,547776
2012-03-26,2012,03,26,2012-03-26,49.7,30.0,1008.8,10.0,22.0,32.1,54.0,39.9,0.06,999.9,0,475909
2012-12-18,2012,12,18,2012-12-18,47.3,44.5,1000.3,5.3,12.0,22.0,54.0,42.1,0.34,999.9,0,501700
2012-11-22,2012,11,22,2012-11-22,47.3,36.2,1023.4,10.0,15.9,999.9,54.0,42.1,0.0,999.9,0,328991
2012-11-10,2012,11,10,2012-11-10,48.0,35.0,1025.0,7.9,14.0,20.0,54.0,41.0,0.0,999.9,0,553368
2012-03-04,2012,03,04,2012-03-04,43.1,19.6,1004.0,10.0,14.0,20.0,54.0,39.0,0.05,999.9,0,485995
2012-11-23,2012,11,23,2012-11-23,48.3,40.8,1016.5,8.9,8.9,999.9,54.0,39.2,0.0,999.9,1,369154
2012-03-25,2012,03,25,2012-03-25,48.6,37.9,1011.6,9.9,12.0,17.1,54.0,43.0,0.07,999.9,0,470596
2012-01-18,2012,01,18,2012-01-18,42.0,25.3,1016.1,10.0,17.1,29.9,54.0,28.9,0.15,999.9,0,518452
2012-03-24,2012,03,24,2012-03-24,59.1,33.0,1017.5,10.0,11.1,21.0,64.0,48.0,0.0,999.9,0,553807
2012-06-05,2012,06,05,2012-06-05,57.2,47.0,1010.9,9.9,18.1,19.0,64.0,51.1,0.18,999.9,0,511597
2012-05-06,2012,05,06,2012-05-06,58.4,50.5,1018.3,8.6,13.0,999.9,64.0,46.9,0.0,999.9,0,484619
2012-10-16,2012,10,16,2012-10-16,55.8,42.5,1007.4,9.9,15.9,25.1,64.0,50.0,0.12,999.9,0,490846
2012-03-29,2012,03,29,2012-03-29,54.8,37.5,1006.0,10.0,19.0,27.0,64.0,46.0,0.02,999.9,0,536892
2012-03-15,2012,03,15,2012-03-15,49.3,36.5,1024.6,9.1,12.0,999.9,64.0,41.0,0.0,999.9,0,551806
2012-05-05,2012,05,05,2012-05-05,59.1,55.5,1013.9,5.7,8.9,999.9,64.0,48.0,0.0,999.9,0,574848
2012-10-23,2012,10,23,2012-10-23,59.0,44.9,1018.7,9.7,14.0,999.9,64.0,53.1,0.0,999.9,0,490505
2012-05-07,2012,05,07,2012-05-07,56.8,43.8,1019.7,10.0,6.0,999.9,64.0,41.0,0.0,999.9,0,487444
2012-04-13,2012,04,13,2012-04-13,53.2,28.7,1020.7,10.0,12.0,999.9,64.0,41.0,0.0,999.9,0,555592
2012-10-21,2012,10,21,2012-10-21,56.5,39.0,1012.9,10.0,18.1,23.9,64.0,48.9,0.0,999.9,0,472616
2012-09-30,2012,09,30,2012-09-30,60.5,52.5,1010.0,9.5,14.0,20.0,68.0,55.9,0.75,999.9,0,471676
2012-09-20,2012,09,20,2012-09-20,61.0,48.3,1021.5,10.0,15.9,22.9,68.0,55.0,0.04,999.9,0,527113
2012-05-01,2012,05,01,2012-05-01,56.9,50.4,1018.5,7.0,21.0,999.9,68.0,46.9,0.58,999.9,0,497454
2012-05-11,2012,05,11,2012-05-11,58.2,34.4,1013.2,10.0,14.0,19.0,68.0,48.9,0.19,999.9,0,550503
2012-06-13,2012,06,13,2012-06-13,66.1,63.8,1013.6,5.9,12.0,22.0,68.0,57.0,1.32,999.9,0,521020
2012-09-29,2012,09,29,2012-09-29,62.4,58.8,1013.0,7.6,14.0,21.0,68.0,57.0,0.37,999.9,1,547796
2012-06-26,2012,06,26,2012-06-26,64.5,49.6,1006.1,10.0,20.0,22.9,72.0,57.9,0.13,999.9,0,485211
2012-09-25,2012,09,25,2012-09-25,62.0,43.4,1021.0,10.0,15.0,15.9,72.0,46.0,0.0,999.9,0,435286
2012-09-15,2012,09,15,2012-09-15,67.2,54.1,1019.1,10.0,14.0,20.0,72.0,60.1,0.01,999.9,0,530859
2012-09-11,2012,09,11,2012-09-11,62.8,41.8,1022.9,10.0,18.1,26.0,72.0,54.0,0.0,999.9,0,491633
2012-09-23,2012,09,23,2012-09-23,63.8,50.3,1015.4,9.0,12.0,15.9,72.0,55.4,0.22,999.9,0,461109
2012-08-23,2012,08,23,2012-08-23,74.7,61.7,1020.4,8.9,8.9,999.9,84.0,62.6,0.0,999.9,0,491305
2012-07-09,2012,07,09,2012-07-09,78.5,56.8,1012.7,10.0,9.9,999.9,84.0,68.0,0.09,999.9,0,431480
2012-08-25,2012,08,25,2012-08-25,75.7,65.2,1023.6,7.3,13.0,18.1,84.0,62.6,0.01,999.9,1,456603
2012-05-26,2012,05,26,2012-05-26,72.2,68.0,1019.7,7.2,12.0,999.9,84.0,57.0,0.0,999.9,1,436846
2012-07-28,2012,07,28,2012-07-28,75.5,69.6,1012.2,7.0,8.0,15.9,84.0,68.0,0.0,999.9,1,482502
2012-07-11,2012,07,11,2012-07-11,77.1,62.0,1019.9,10.0,7.0,999.9,84.0,64.9,0.0,999.9,0,506013
2012-07-03,2012,07,03,2012-07-03,79.8,56.7,1012.8,10.0,12.0,999.9,88.0,63.0,0.0,999.9,0,449319
2012-07-12,2012,07,12,2012-07-12,77.4,60.2,1021.7,10.0,7.0,999.9,88.0,57.0,0.0,999.9,0,515258
2012-08-17,2012,08,17,2012-08-17,77.9,60.7,1010.6,9.5,15.0,17.1,88.0,69.1,0.0,999.9,0,507548
2012-07-02,2012,07,02,2012-07-02,80.3,54.1,1011.6,10.0,15.0,999.9,88.0,66.9,0.0,999.9,0,409243
2012-06-28,2012,06,28,2012-06-28,77.7,53.3,1008.8,10.0,14.0,18.1,88.0,64.9,0.0,999.9,0,517788
2012-08-09,2012,08,09,2012-08-09,78.2,69.6,1013.6,9.3,7.0,15.0,88.0,61.0,0.0,999.9,0,512109
2012-07-18,2012,07,18,2012-07-18,85.3,69.1,1008.9,7.2,13.0,20.0,100.0,73.0,0.0,999.9,1,492858
2012-09-16,2012,09,16,2012-09-16,65.1,46.5,1018.9,10.0,13.0,20.0,73.0,53.6,0.0,999.9,0,452545
2012-09-21,2012,09,21,2012-09-21,64.7,53.7,1018.9,10.0,16.9,22.0,73.0,51.8,0.0,999.9,0,533328
2012-05-14,2012,05,14,2012-05-14,67.7,57.9,1019.9,9.7,12.0,19.0,73.0,55.0,0.0,999.9,0,471847
2012-03-19,2012,03,19,2012-03-19,60.9,50.2,1022.3,8.3,14.0,999.9,73.0,43.0,0.0,999.9,0,436371
2012-05-17,2012,05,17,2012-05-17,65.0,45.3,1016.5,10.0,14.0,999.9,73.0,53.1,0.09,999.9,1,536736
2012-03-20,2012,03,20,2012-03-20,62.9,54.2,1024.7,9.1,7.0,999.9,73.0,55.0,0.0,999.9,1,476880
2012-10-03,2012,10,03,2012-10-03,65.6,64.3,1016.6,1.5,9.9,999.9,73.0,62.6,0.45,999.9,1,499493
2012-03-13,2012,03,13,2012-03-13,62.5,48.8,1017.5,9.6,12.0,15.0,73.0,45.0,0.04,999.9,1,492437
2012-06-01,2012,06,01,2012-06-01,66.7,51.9,1014.4,10.0,15.9,18.1,73.0,55.9,0.0,999.9,1,548802
2012-05-04,2012,05,04,2012-05-04,59.5,56.1,1014.8,4.9,12.0,999.9,73.0,48.9,0.1,999.9,0,559049
2012-09-19,2012,09,19,2012-09-19,66.7,56.1,1015.2,7.6,21.0,27.0,73.0,57.0,0.68,999.9,0,504883
2012-09-17,2012,09,17,2012-09-17,66.5,48.0,1018.3,10.0,7.0,999.9,77.0,48.2,0.0,999.9,0,399464
2012-05-12,2012,05,12,2012-05-12,65.0,35.6,1021.1,10.0,15.9,999.9,77.0,43.0,0.0,999.9,0,546882
2012-06-11,2012,06,11,2012-06-11,70.2,58.3,1022.9,9.5,9.9,15.0,77.0,53.1,0.0,999.9,0,469554
2012-05-20,2012,05,20,2012-05-20,66.9,42.3,1022.6,10.0,13.0,15.0,77.0,46.9,0.0,999.9,0,473153
2012-07-21,2012,07,21,2012-07-21,68.1,58.5,1018.3,9.8,12.0,999.9,77.0,57.9,0.43,999.9,0,470690
2012-06-07,2012,06,07,2012-06-07,65.7,54.5,1014.2,9.9,8.0,999.9,77.0,57.0,0.02,999.9,0,538013
2012-08-21,2012,08,21,2012-08-21,72.8,57.2,1015.5,10.0,12.0,999.9,81.0,60.8,0.0,999.9,0,452692
2012-09-08,2012,09,08,2012-09-08,75.3,69.6,1007.5,8.8,15.9,28.9,81.0,69.1,0.0,999.9,1,558611
2012-06-27,2012,06,27,2012-06-27,71.3,47.4,1007.6,10.0,16.9,21.0,81.0,62.1,0.0,999.9,0,507550
2012-05-27,2012,05,27,2012-05-27,73.3,65.4,1019.5,7.9,13.0,999.9,81.0,60.1,0.07,999.9,0,378333
2012-08-14,2012,08,14,2012-08-14,76.0,62.6,1014.0,9.6,9.9,999.9,81.0,69.1,0.0,999.9,0,462678
2012-06-08,2012,06,08,2012-06-08,69.9,53.0,1012.6,10.0,8.0,999.9,81.0,51.1,0.01,999.9,1,545823
2012-08-27,2012,08,27,2012-08-27,71.9,66.3,1019.7,8.6,8.9,18.1,81.0,55.4,0.01,999.9,1,409874
2012-08-15,2012,08,15,2012-08-15,73.6,68.9,1011.5,6.5,9.9,999.9,81.0,66.2,0.01,999.9,1,477867
2012-06-29,2012,06,29,2012-06-29,82.4,64.8,1004.9,8.3,11.1,999.9,93.0,64.9,0.21,999.9,1,532261
2012-06-30,2012,06,30,2012-06-30,85.7,60.5,1006.4,9.7,12.0,999.9,93.0,64.0,0.0,999.9,0,480846
2012-06-21,2012,06,21,2012-06-21,86.9,66.9,1012.1,8.8,12.0,20.0,93.0,72.0,0.0,999.9,0,550983
2012-07-01,2012,07,01,2012-07-01,83.6,63.0,1008.9,9.7,9.9,18.1,93.0,66.0,0.0,999.9,0,424112
2012-06-20,2012,06,20,2012-06-20,79.6,67.5,1017.2,8.0,15.9,999.9,93.0,59.0,0.0,999.9,0,531734
2012-01-20,2012,01,20,2012-01-20,31.2,13.0,1019.1,10.0,16.9,18.1,37.0,24.1,0.0,999.9,0,566619
2012-02-12,2012,02,12,2012-02-12,29.2,12.2,1007.7,9.2,23.9,25.1,37.0,21.0,0.08,999.9,0,514642
2012-01-09,2012,01,09,2012-01-09,35.0,17.9,1024.8,10.0,12.0,999.9,41.0,30.9,0.0,999.9,0,439369
2012-11-25,2012,11,25,2012-11-25,36.6,17.2,1011.6,10.0,22.9,30.9,41.0,33.1,0.0,999.9,0,413434
2012-01-30,2012,01,30,2012-01-30,39.7,24.5,1018.6,9.9,19.0,999.9,41.0,37.9,0.0,999.9,0,453891
2012-03-02,2012,03,02,2012-03-02,36.9,30.6,1017.3,10.0,16.9,999.9,41.0,33.1,0.13,999.9,0,578422
2012-12-28,2012,12,28,2012-12-28,33.0,22.4,1015.3,9.4,22.0,34.0,41.0,30.0,0.37,999.9,0,431556
2012-02-13,2012,02,13,2012-02-13,33.0,13.8,1015.0,10.0,22.9,999.9,43.0,21.0,0.01,999.9,0,491284
2012-12-12,2012,12,12,2012-12-12,40.1,23.6,1026.0,10.0,12.0,19.0,43.0,33.8,0.01,999.9,0,516441
2012-11-29,2012,11,29,2012-11-29,37.5,21.9,1025.9,9.7,15.9,22.9,43.0,32.0,0.01,999.9,0,519636
2012-01-29,2012,01,29,2012-01-29,41.0,26.5,1017.1,9.9,15.0,999.9,43.0,39.0,0.0,999.9,0,467885
2012-02-11,2012,02,11,2012-02-11,36.0,28.7,1008.0,5.8,15.9,17.1,43.0,33.1,0.06,999.9,0,589609
2012-02-08,2012,02,08,2012-02-08,35.5,18.7,1023.4,9.9,14.0,999.9,43.0,30.9,0.0,999.9,0,522019
2012-12-06,2012,12,06,2012-12-06,35.0,16.8,1025.5,10.0,19.0,27.0,45.0,28.0,0.01,999.9,0,519812
2012-12-22,2012,12,22,2012-12-22,37.4,25.0,998.4,10.0,25.1,32.1,45.0,33.1,0.7,999.9,0,482527
2012-02-26,2012,02,26,2012-02-26,35.7,12.1,1025.2,10.0,20.0,999.9,45.0,28.9,0.0,999.9,0,469136
2012-11-06,2012,11,06,2012-11-06,36.6,17.4,1022.0,10.0,14.0,18.1,45.0,32.0,0.07,999.9,0,450531
2012-12-01,2012,12,01,2012-12-01,38.5,32.1,1031.4,9.3,14.0,22.0,45.0,34.0,0.0,999.9,0,569805
2012-02-16,2012,02,16,2012-02-16,40.3,32.6,1024.3,8.3,7.0,999.9,45.0,36.0,0.01,999.9,0,542061
2012-02-10,2012,02,10,2012-02-10,39.3,21.4,1018.9,10.0,9.9,14.0,45.0,30.9,0.0,999.9,0,577540
2012-02-04,2012,02,04,2012-02-04,41.3,21.5,1024.8,10.0,15.0,999.9,45.0,32.0,0.0,999.9,0,547815
2012-02-09,2012,02,09,2012-02-09,35.7,23.0,1019.1,8.3,12.0,15.0,45.0,30.2,0.01,999.9,0,541616
2012-02-23,2012,02,23,2012-02-23,51.5,34.8,999.2,10.0,16.9,22.9,57.0,43.0,0.0,999.9,0,527637
2012-01-08,2012,01,08,2012-01-08,44.3,25.2,1019.4,10.0,13.0,17.1,57.0,37.9,0.0,999.9,0,463563
2012-03-30,2012,03,30,2012-03-30,46.2,23.0,1016.4,10.0,15.0,17.1,57.0,39.9,0.0,999.9,0,562970
2012-02-02,2012,02,02,2012-02-02,45.6,31.4,1016.6,10.0,18.1,999.9,57.0,39.0,0.01,999.9,0,536346
2012-01-27,2012,01,27,2012-01-27,47.5,45.0,1003.9,4.1,16.9,26.0,59.0,37.0,0.16,999.9,1,549222
2012-10-24,2012,10,24,2012-10-24,57.1,53.5,1019.9,6.4,9.9,999.9,59.0,51.8,0.07,999.9,0,508006
2012-04-26,2012,04,26,2012-04-26,52.0,42.4,1011.0,8.3,13.0,15.0,59.0,43.0,0.0,999.9,0,542983
2012-04-10,2012,04,10,2012-04-10,53.6,27.8,1005.6,10.0,14.0,15.9,59.0,45.0,0.0,999.9,0,501356
2012-03-11,2012,03,11,2012-03-11,44.9,19.4,1031.5,10.0,18.1,19.0,59.0,28.0,0.0,999.9,0,462052
2012-04-06,2012,04,06,2012-04-06,47.1,22.2,1013.9,10.0,9.9,17.1,59.0,37.9,0.0,999.9,0,544558
2012-12-11,2012,12,11,2012-12-11,50.1,43.2,1013.2,7.3,19.0,26.0,59.0,42.8,0.23,999.9,1,495098
2012-04-24,2012,04,24,2012-04-24,48.5,32.5,998.4,10.0,22.0,999.9,59.0,41.0,0.22,999.9,0,518015
2012-04-12,2012,04,12,2012-04-12,50.1,32.0,1014.6,10.0,9.9,18.1,61.0,43.0,0.0,999.9,0,540816
2012-05-02,2012,05,02,2012-05-02,52.5,49.1,1020.0,8.0,14.0,999.9,61.0,46.9,0.04,999.9,0,528684
2012-03-07,2012,03,07,2012-03-07,46.3,26.9,1032.7,10.0,18.1,20.0,61.0,33.1,0.0,999.9,0,526420
2012-10-25,2012,10,25,2012-10-25,58.0,51.3,1023.9,10.0,8.9,999.9,61.0,43.0,0.0,999.9,0,522739
2012-03-17,2012,03,17,2012-03-17,52.2,45.3,1024.8,6.8,9.9,999.9,61.0,42.1,0.01,999.9,0,559115
2012-04-05,2012,04,05,2012-04-05,49.6,25.8,1008.6,10.0,15.9,22.9,61.0,42.1,0.0,999.9,0,546036
2012-10-28,2012,10,28,2012-10-28,57.7,50.0,1010.8,9.6,22.0,32.1,61.0,53.6,0.0,999.9,0,430478
2012-11-11,2012,11,11,2012-11-11,54.7,45.1,1030.8,7.0,9.9,999.9,63.0,37.4,0.0,999.9,0,473452
2012-04-22,2012,04,22,2012-04-22,51.3,48.1,1006.4,7.4,19.0,29.9,63.0,46.0,0.22,999.9,1,520997
2012-04-29,2012,04,29,2012-04-29,53.4,23.2,1020.2,10.0,18.1,999.9,63.0,44.1,0.0,999.9,0,487666
2012-04-03,2012,04,03,2012-04-03,50.5,16.2,1011.3,10.0,16.9,17.1,63.0,39.0,0.04,999.9,0,506070
2012-03-18,2012,03,18,2012-03-18,51.1,45.0,1026.6,6.8,13.0,15.0,63.0,39.9,0.0,999.9,0,459165
2012-10-22,2012,10,22,2012-10-22,57.8,40.1,1017.4,10.0,20.0,26.0,66.0,48.9,0.0,999.9,0,447455
2012-10-19,2012,10,19,2012-10-19,63.2,61.1,1010.9,6.1,18.1,23.9,66.0,55.0,0.25,999.9,1,547098
2012-04-08,2012,04,08,2012-04-08,54.6,19.7,1011.2,10.0,14.0,28.9,66.0,39.9,0.0,999.9,0,417649
2012-03-09,2012,03,09,2012-03-09,49.2,31.2,1015.9,9.9,22.9,26.0,66.0,41.0,0.02,999.9,0,583989
2012-05-24,2012,05,24,2012-05-24,64.6,63.2,1019.6,4.6,11.1,999.9,66.0,52.0,0.03,999.9,1,507997
2012-04-18,2012,04,18,2012-04-18,57.6,32.4,1022.2,10.0,21.0,999.9,70.0,48.9,0.0,999.9,0,531419
2012-04-21,2012,04,21,2012-04-21,61.6,54.8,1008.2,7.8,13.0,22.0,70.0,51.1,0.0,999.9,1,556334
2012-06-12,2012,06,12,2012-06-12,66.6,62.3,1020.3,6.9,12.0,15.9,70.0,62.1,0.0,999.9,0,508298
2012-10-01,2012,10,01,2012-10-01,60.6,46.8,1011.2,10.0,23.9,33.0,70.0,53.1,0.46,999.9,0,440313
2012-03-12,2012,03,12,2012-03-12,55.6,32.4,1025.3,10.0,15.9,17.1,70.0,43.0,0.0,999.9,0,451512
2012-05-22,2012,05,22,2012-05-22,63.4,61.0,1011.7,5.8,13.0,15.9,70.0,57.9,1.62,999.9,1,503924
2012-10-02,2012,10,02,2012-10-02,63.7,54.2,1015.5,7.3,9.9,999.9,70.0,60.1,0.0,999.9,0,483814
