"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","max","min","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.8,23.6,39.9,33.1,0.481668773704172
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.1,10.5,33.1,21.9,0.606826801517067
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,28.4,14.1,32,24.1,0.694058154235145
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.4,18.6,37,30,0.638432364096081
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,36.1,18.7,42.1,32,0.491782553729456
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,38.3,25,46,34,0.496839443742099
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,40.9,23.8,45,37,0.65865992414665
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,40.7,25.4,48,35.1,0.648546144121365
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,43.8,30.8,48.9,39,0.615676359039191
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,44.3,25.4,48,39.9,0.701643489254109
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,40.5,27.1,44.1,37,0.834386852085967
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.6,43,46.9,42.1,0.600505689001264
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.3,43.1,48.9,43,0.471554993678887
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,52.5,45.4,72,48,0.685208596713021
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,37.9,27.9,50,35.1,0.652338811630847
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.2,30,37.9,32,0.730720606826802
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.2,28,43,36,0.620733249051833
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,30.2,12.2,39.9,25,0.709228824273072
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,18.1,51.1,28,0.611883691529709
