day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
6,2009,01,17,2009-01-17,10.2,-0.1,1032.4,14.8,3.6,8.9,999.9,19.0,1.4,0.0,2.0,0,511023
2,2009,03,03,2009-03-03,19.2,11.2,1015.8,10.0,8.0,21.0,999.9,28.0,12.2,0.16,3.1,0,472839
1,2009,01,12,2009-01-12,26.9,21.9,1017.0,9.6,5.8,12.0,999.9,32.0,19.4,0.07,1.2,0,414642
6,2009,01,31,2009-01-31,25.7,15.7,1008.7,11.4,10.1,17.1,22.9,32.0,21.2,0.0,999.9,0,539574
3,2009,01,21,2009-01-21,23.4,15.4,1006.8,9.9,8.4,15.0,18.1,32.0,17.6,0.02,2.0,0,478268
1,2009,12,21,2009-12-21,24.1,10.6,9999.9,8.6,12.5,18.1,29.9,32.0,19.4,99.99,999.9,0,425440
2,2009,12,29,2009-12-29,26.3,10.9,9999.9,10.0,17.5,28.0,45.1,32.0,14.0,99.99,999.9,0,447016
6,2009,12,12,2009-12-12,26.0,6.3,9999.9,10.0,15.5,27.0,34.0,32.0,23.0,0.0,999.9,0,563707
1,2009,03,23,2009-03-23,29.3,12.3,1023.2,14.1,10.0,18.1,21.0,36.0,23.0,0.0,999.9,0,419795
2,2009,11,24,2009-11-24,48.4,47.8,9999.9,3.0,14.1,18.1,29.9,50.0,46.4,99.99,999.9,0,474969
4,2009,02,19,2009-02-19,41.3,39.4,996.2,3.5,8.6,21.0,26.0,50.0,32.0,0.35,999.9,1,507718
4,2009,11,26,2009-11-26,48.0,47.1,9999.9,5.3,3.4,9.9,999.9,50.0,46.4,0.0,999.9,1,309751
4,2009,03,19,2009-03-19,44.5,39.5,1016.7,11.2,8.7,15.0,21.0,50.0,39.2,0.13,999.9,0,496540
4,2009,10,29,2009-10-29,48.4,42.1,9999.9,8.5,14.1,24.1,35.0,50.0,39.2,99.99,999.9,0,523549
7,2009,10,18,2009-10-18,47.3,43.7,9999.9,5.5,16.7,28.0,41.0,50.0,44.6,99.99,999.9,0,472394
4,2009,11,12,2009-11-12,47.2,38.1,9999.9,10.0,15.7,22.9,29.9,50.0,46.4,0.0,999.9,0,533748
6,2009,10,17,2009-10-17,46.4,39.3,9999.9,9.1,11.5,18.1,26.0,50.0,44.6,99.99,999.9,0,541136
7,2009,12,27,2009-12-27,45.8,43.9,9999.9,6.1,17.4,25.1,34.0,50.0,41.0,99.99,999.9,1,312947
3,2009,11,25,2009-11-25,48.9,47.7,9999.9,1.9,10.3,17.1,25.1,50.0,48.2,99.99,999.9,1,470537
2,2009,03,17,2009-03-17,36.6,27.1,1026.4,15.0,4.7,8.9,999.9,50.0,24.8,0.0,999.9,0,461084
7,2009,11,29,2009-11-29,44.0,33.7,9999.9,10.0,12.6,18.1,27.0,50.0,39.2,0.0,999.9,0,392146
2,2009,12,15,2009-12-15,42.9,40.1,9999.9,9.8,4.8,12.0,999.9,50.0,37.4,0.0,999.9,0,508401
3,2009,10,14,2009-10-14,42.9,31.8,9999.9,10.0,7.3,15.0,25.1,50.0,33.8,0.0,999.9,0,510052
3,2009,11,18,2009-11-18,42.2,35.2,9999.9,10.0,2.9,7.0,999.9,50.0,32.0,0.0,999.9,0,504612
1,2009,11,23,2009-11-23,47.4,41.1,9999.9,9.4,11.9,20.0,26.0,50.0,44.6,99.99,999.9,0,445075
2,2009,03,31,2009-03-31,44.3,33.6,1015.2,14.4,10.4,16.9,21.0,50.0,35.6,0.1,999.9,0,460734
1,2009,03,30,2009-03-30,44.1,41.9,996.1,4.4,10.8,21.0,28.0,50.0,41.0,1.04,999.9,1,427313
4,2009,11,05,2009-11-05,42.7,34.9,9999.9,10.0,3.2,7.0,999.9,50.0,37.4,99.99,999.9,0,541229
3,2009,11,04,2009-11-04,45.1,31.2,9999.9,10.0,7.2,14.0,18.1,50.0,37.4,0.0,999.9,0,503664
5,2009,12,04,2009-12-04,46.9,37.6,9999.9,10.0,6.4,12.0,999.9,54.0,33.8,0.0,999.9,0,561295
7,2009,05,17,2009-05-17,62.6,58.6,1013.5,5.4,9.6,19.0,28.9,68.0,55.0,0.01,999.9,1,456758
7,2009,09,20,2009-09-20,52.3,41.2,1025.8,15.0,4.1,12.0,999.9,68.0,39.2,0.0,999.9,0,413176
